input_1,input_2,input_3,power,check
29,11,200,78.1664342,100
29,11,400,88.2378742,95
29,11,600,107.7973142,91
29,11,800,136.8447542,109
29,11,1000,175.3801942,105
24,11,200,91.2886657,101
24,11,400,106.4868057,98
24,11,600,131.1729457,91
24,11,800,165.3470857,92
24,11,1000,209.0092257,95
19,11,200,99.0259922,105
19,11,400,119.3508322,100
19,11,600,149.1636722,102
19,11,800,188.4645122,95
15,12,550,432.55,85
19,11,1000,237.2533522,94
29,8,200,67.7083409,97
29,8,400,74.7037609,101
29,8,600,91.1871809,103
29,8,800,117.1586009,106
29,8,1000,152.6180209,102
24,8,200,84.0615154,101
24,8,400,96.1836354,95
24,8,600,117.7937554,102
24,8,800,148.8918754,105
24,8,1000,189.4779954,101
19,8,200,95.0297849,98
19,8,400,112.2786049,91
19,8,600,139.0154249,92
19,8,800,175.2402449,95
19,8,1000,220.9530649,94
29,5,200,55.3116818,97
29,5,400,59.2310818,101
29,5,600,72.6384818,103
29,5,800,95.5338818,106
29,5,1000,127.9172818,102
24,5,200,74.8957993,101
24,5,400,83.9418993,95
24,5,600,102.4759993,94
24,5,800,130.4980993,97
24,5,1000,168.0081993,100
19,5,200,89.0950118,102
19,5,400,103.2678118,95
19,5,600,126.9286118,94
19,5,800,160.0774118,97
19,5,1000,202.7142118,101
